stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,radius_ft,lat,lon
6632,07:13,06:55,160,12,71,1320,43.097159,-89.498791
6633,07:34,07:03,133,3,15,1320,43.082298,-89.533875
6638,07:35,06:56,160,2,73,1320,43.056717,-89.500363
6652,07:40,07:09,133,2,72,1320,43.107231,-89.536274
6656,07:19,06:55,160,12,71,1320,43.098028,-89.523391
6676,07:28,07:09,133,2,72,1320,43.104596,-89.4874
6678,07:20,07:03,133,3,15,1320,43.07534,-89.481916
6684,07:33,07:09,133,2,72,1320,43.111398,-89.507119
6685,07:48,06:56,160,2,73,360,43.056484,-89.502325
6691,07:27,07:09,133,2,72,1320,43.100371,-89.486074
6698,07:10,06:55,160,12,71,1320,43.090423,-89.486744
6700,07:48,06:56,160,2,73,360,43.075034,-89.527506
6704,07:34,07:09,133,2,72,1320,43.111671,-89.514259
6717,07:45,06:55,160,12,71,900,43.096158,-89.494604
6720,07:39,06:56,160,2,73,1320,43.050793,-89.511044
6724,07:35,06:57,133,19,6,1320,43.060977,-89.486878
6728,07:35,07:06,5,80,3,1320,43.050175,-89.478279
6733,07:31,06:55,160,12,71,1320,43.089941,-89.526664
6748,07:50,07:03,133,3,15,0,43.061363,-89.52772
6771,07:16,06:55,160,12,3,1320,43.051177,-89.481155
6773,07:43,07:03,133,3,14,1260,43.070758,-89.510242
6778,07:41,07:03,133,3,14,1320,43.064036,-89.507518
6780,07:25,07:03,133,3,15,1320,43.081343,-89.506428
6784,07:22,07:03,133,3,15,1320,43.075316,-89.493952
6785,07:36,06:55,160,12,71,1320,43.094224,-89.509617
6787,07:43,06:57,133,19,6,1260,43.05835,-89.509091
6796,07:42,07:03,133,3,15,1320,43.078125,-89.52456
6798,07:17,06:55,160,12,71,1320,43.102602,-89.513172
6800,07:49,07:03,133,3,15,180,43.066603,-89.524543
6805,07:15,06:55,160,12,71,1320,43.098449,-89.511339
6807,07:44,07:03,133,3,14,1080,43.07156,-89.502701
6812,07:48,07:03,133,3,15,360,43.068456,-89.524435
6815,07:42,07:03,133,3,14,1320,43.06656,-89.508336
6820,07:21,07:03,133,3,14,1320,43.061017,-89.478818
6822,07:12,06:55,160,12,71,1320,43.096829,-89.495938
6825,07:33,06:55,160,12,71,1320,43.090556,-89.519244
6835,07:12,06:55,160,12,71,1320,43.095407,-89.493837
6840,07:45,07:03,133,3,15,900,43.073933,-89.527011
6842,07:42,06:56,160,2,73,1320,43.055243,-89.52328
6845,07:48,07:09,133,2,72,360,43.097312,-89.534356
6854,07:25,07:03,133,3,15,1320,43.081265,-89.502663
6860,07:50,07:03,133,3,15,0,43.063637,-89.52739
6867,07:49,06:56,160,2,73,180,43.075236,-89.532691
6868,07:39,07:03,133,3,15,1320,43.086326,-89.524547
6881,07:43,06:55,160,12,71,1260,43.095993,-89.501593
6883,07:46,06:57,133,19,6,720,43.060539,-89.502182
6884,07:38,07:03,133,3,15,1320,43.089728,-89.52475
6885,07:16,06:55,160,12,71,1320,43.101475,-89.511257
6889,07:30,06:55,160,12,71,1320,43.090171,-89.529789
6891,07:44,06:55,160,12,71,1080,43.096845,-89.498507
6894,07:49,06:55,160,12,71,180,43.093745,-89.485932
6899,07:43,06:55,160,12,71,1260,43.096898,-89.501211
6902,07:27,07:03,133,3,15,1320,43.075253,-89.509507
6903,07:47,06:57,133,19,6,540,43.060587,-89.496628
6908,07:40,07:09,133,2,72,1320,43.10962,-89.538094
6910,07:26,07:03,133,3,15,1320,43.080025,-89.509575
6915,07:47,06:55,160,12,71,540,43.096224,-89.488763
6918,07:38,07:03,133,3,15,1320,43.087767,-89.524722
6922,07:36,07:09,133,2,72,1320,43.111558,-89.521435
6923,07:44,06:56,160,2,73,1080,43.060781,-89.527262
6924,07:18,06:55,160,12,71,1320,43.101148,-89.518505
6925,07:45,06:56,160,2,73,900,43.065214,-89.525368
6926,07:40,06:57,133,19,6,1320,43.060226,-89.51582
6938,07:38,06:56,160,2,73,1320,43.050288,-89.503762
6941,07:49,06:57,133,19,6,180,43.060628,-89.487248
6944,07:41,07:03,133,3,15,1320,43.081661,-89.524417
6952,07:31,06:56,160,2,73,1320,43.051678,-89.481698
6958,07:20,06:55,160,12,71,1320,43.09398,-89.525263
6959,07:26,07:03,133,3,14,1320,43.061103,-89.502479
6965,07:31,06:55,160,12,71,1320,43.089961,-89.524158
6981,07:36,07:03,133,3,15,1320,43.086234,-89.528128
6984,07:40,06:57,133,19,6,1320,43.060765,-89.513093
6997,07:22,07:03,133,3,14,1320,43.061148,-89.486359
7100,07:37,06:57,133,19,15,1320,43.098601,-89.322445
7101,07:27,06:57,133,19,15,1320,43.098618,-89.321889
7129,07:50,07:06,5,80,37,0,43.073723,-89.314346
7131,07:48,07:06,5,80,37,360,43.079577,-89.323571
7134,07:46,06:57,133,19,15,720,43.094385,-89.261214
7167,07:38,06:57,133,19,15,1320,43.098334,-89.313368
7169,07:37,06:57,133,19,15,1320,43.098185,-89.31774
7175,07:39,06:57,133,19,15,1320,43.098734,-89.300413
7182,07:46,07:06,5,80,37,720,43.086195,-89.326315
7209,07:39,06:57,133,19,15,1320,43.09858,-89.30728
7233,07:45,06:57,133,19,15,900,43.099403,-89.264055
7296,07:45,07:06,5,80,37,900,43.087494,-89.327412
7326,07:46,06:57,133,19,15,720,43.096893,-89.261999
7381,07:40,06:57,133,19,15,1320,43.098794,-89.296733
