stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,initial_walk_time,radius_ft
4342,12:36,12:18,160,3,18,1,1320
4346,12:49,12:02,809,1,null,2,1320
4354,12:37,12:18,160,3,18,1,1320
4368,12:38,12:18,160,3,18,1,1320
4382,12:46,12:02,809,1,null,2,1320
4437,12:44,12:18,160,3,18,1,1320
4446,12:58,12:02,809,1,null,2,360
4456,12:56,12:02,809,1,null,2,720
4500,12:40,12:18,160,3,18,1,1320
4539,12:48,12:18,160,3,18,1,1320
4560,12:52,12:02,809,1,null,2,1320
4580,12:41,12:18,160,3,18,1,1320
4663,12:44,12:18,160,3,18,1,1320
4685,12:48,12:18,160,3,18,1,1320
4700,12:54,12:02,809,1,null,2,1080
4714,12:40,12:18,160,3,18,1,1320
4718,12:46,12:02,809,1,null,2,1320
4743,12:50,12:02,809,1,null,2,1320
4769,12:59,12:02,809,1,null,2,180
4791,12:43,12:18,160,3,18,1,1320
4798,12:56,12:02,809,1,null,2,720
4806,12:58,12:02,809,1,null,2,360
4830,12:52,12:02,809,1,null,2,1320
4847,12:59,12:02,809,1,null,2,180
4848,12:48,12:02,809,1,null,2,1320
4849,12:44,12:18,160,3,18,1,1320
4851,12:50,12:02,809,1,null,2,1320
4856,12:42,12:18,160,3,18,1,1320
4909,12:46,12:18,160,3,18,1,1320
4927,12:50,12:02,809,1,null,2,1320
4957,12:47,12:18,160,3,18,1,1320
4964,12:49,12:02,809,1,null,2,1320
4986,12:54,12:02,809,1,null,2,1080
4990,12:42,12:18,160,3,18,1,1320
5100,13:00,12:25,809,2,null,2,0
5101,12:52,12:25,809,2,null,2,1320
6100,12:45,12:19,542,3,null,7,1320
6101,12:37,12:19,542,3,null,7,1320
6110,12:40,12:19,178,70,null,4,1320
6120,12:42,12:19,178,70,null,4,1320
6122,12:59,12:19,160,70,73,1,180
6129,12:49,12:12,178,15,67,4,1320
6130,12:38,12:12,178,15,null,4,1320
6140,12:35,12:12,178,15,null,4,1320
6146,12:49,12:19,178,70,null,4,1320
6151,12:51,12:12,178,15,67,4,1320
6157,12:48,12:19,178,70,null,4,1320
6159,12:46,12:12,178,15,67,4,1320
6165,12:50,12:12,178,15,73,4,1320
6166,12:41,12:12,178,15,null,4,1320
6171,12:34,12:19,178,70,null,4,1320
6176,12:30,12:12,178,15,null,4,1320
6205,12:36,12:19,178,70,null,4,1320
6208,12:50,12:19,178,70,null,4,1320
6243,12:32,12:19,178,70,null,4,1320
6265,12:35,12:19,542,3,null,7,1320
6273,12:46,12:12,178,15,null,4,1320
6288,12:44,12:19,178,70,null,4,1320
6296,12:46,12:19,542,3,null,7,1320
6301,12:35,12:19,178,70,null,4,1320
6304,12:55,12:19,178,70,null,4,900
6340,12:27,12:12,178,15,null,4,1320
6350,12:45,12:12,178,15,67,4,1320
6354,13:00,12:19,160,70,73,1,0
6365,12:47,12:12,178,15,null,4,1320
6388,12:45,12:19,178,70,null,4,1320
6423,12:36,12:19,542,3,null,7,1320
6439,12:33,12:19,178,70,null,4,1320
6440,12:38,12:12,178,15,null,4,1320
6450,12:38,12:12,178,15,null,4,1320
6457,12:44,12:12,178,15,null,4,1320
6458,12:50,12:19,178,70,null,4,1320
6466,12:33,12:12,178,15,null,4,1320
6470,12:54,12:19,178,70,null,4,1080
